dataset	config	panel	gene	tested	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSE245386	primary	BBB_transport	Slco1c1	True	20183.54071108593	-0.7155930733092568	0.1405460434095147	-5.09152058606306	3.5520329819341654e-07	5.326301425173918e-06
GSE245386	primary	BBB_transport	Abcb1a	True	18854.181292101566	0.0757452522274907	0.1064026691609319	0.7118736101716354	0.476543045102151	0.7147872265710595
GSE245386	primary	BBB_transport	Abcb1b	True	164.0649643887153	1.0706255123946096	0.2821598862429537	3.794393053705543	0.0001480050580085	0.0012966400567915
GSE245386	primary	BBB_transport	Abcg2	True	13052.063127382557	0.0310436775663201	0.1054734558672114	0.29432692150908	0.7685081028512117	0.8982370387272279
GSE245386	primary	Endothelial_activation	Icam1	True	6537.286620614756	0.5474759212086732	0.1439087752003702	3.804326181265871	0.000142190715004	0.0012514590081376
GSE245386	primary	Endothelial_activation	Vcam1	True	1885.8324022696856	0.358461030844957	0.1183024113081617	3.030039936474452	0.0024452140345498	0.0150699174014429
GSE245386	primary	Endothelial_activation	Sele	True	100.69923481964749	1.6353763542760975	0.8865923256370564	1.844564076393292	0.0651009767544191	0.2063698253960831
GSE245386	primary	Endothelial_activation	Selp	True	90.81502570566462	-1.4894079921104406	1.4669642947020252	-1.0152994162771862	0.3099631225824424	0.5642737925491466
GSE245386	primary	Endothelial_activation	Ccl2	True	305.0904482926603	1.3808951462332295	1.020548311052384	1.35309140319801	0.1760264317203471	0.4038799227800435
GSE245386	primary	Endothelial_activation	Cxcl10	True	1131.942047494093	-0.4166417115869436	0.4301845861736528	-0.9685184569090016	0.3327855057599239	0.587279877244578
GSE245386	primary	Angiogenesis_associated	Apln	True	59.4293048142648	1.631468003670344	0.4839780748634991	3.3709543642663613	0.0007490826561728	0.0054240847275633
GSE245386	primary	Angiogenesis_associated	Esm1	True	158.89727333284856	-3.0657274410898565	0.3263230734601232	-9.394761481567404	5.7347608304466355e-21	3.625273080989813e-19
GSE245386	primary	Angiogenesis_associated	Dll4	True	1679.5043497037573	-0.3098114889355539	0.1454146405817912	-2.1305384911452188	0.0331271815323517	0.1246154594186119
GSE245386	primary	Angiogenesis_associated	Angpt2	True	672.5915148316487	2.71877902081524	0.2126551554819413	12.78491939052058	1.990691001998663e-37	3.2965410234184385e-35
GSE245386	primary	Angiogenesis_associated	Pgf	True	68.65073438604259	2.562919762560653	0.438478961351432	5.845023338546281	5.064972497200318e-09	1.0166647693655713e-07
GSE245386	primary	Angiogenesis_associated	Flt1	True	96695.76817571584	-0.3688640781269207	0.1174437317795136	-3.140772798495694	0.0016850269683619	0.0108752619834045
GSE245386	singlet	BBB_junction	Cldn5	True	73871.58248340261	-0.4031477434263095	0.1098511036518995	-3.6699471377531134	0.0002426006327064	0.0020356523146647
GSE245386	singlet	BBB_junction	Ocln	True	4565.13224168303	-0.0486392477541606	0.1183459715536597	-0.4109920018030097	0.6810783994875571	0.8524672500580818
GSE245386	singlet	BBB_junction	Tjp1	True	20760.28709207715	0.2543815380841848	0.1146419860112365	2.218921242861684	0.0264920830357697	0.1065221926748869
GSE245386	singlet	BBB_junction	Tjp2	True	3666.849107927056	-0.1876704932708634	0.1318671984284206	-1.4231779813896146	0.1546845668669517	0.373921742693354
GSE245386	singlet	BBB_transport	Mfsd2a	True	3289.315762932317	-0.2319223514098652	0.1957545275750607	-1.184761110166079	0.2361119129265833	0.4854283126779645
GSE245386	singlet	BBB_transport	Slc2a1	True	53011.80328933926	1.6874565899633371	0.1220980447512568	13.820504606778046	1.917211740827561e-43	3.7965905033027915e-41
GSE245386	singlet	BBB_transport	Slco1c1	True	19962.74059068004	-0.7082085798210707	0.1422483627139042	-4.978676494473604	6.402054718019446e-07	9.231389968157748e-06
GSE245386	singlet	BBB_transport	Abcb1a	True	18655.494825653448	0.0873718715086826	0.1075953195553955	0.8120415634222744	0.4167677825411305	0.6681600935126156
GSE245386	singlet	BBB_transport	Abcb1b	True	142.2645000661771	1.1396772233032797	0.3305964410910387	3.44733663660172	0.0005661426752866	0.0042617085724062
GSE245386	singlet	BBB_transport	Abcg2	True	12915.279606143413	0.0373196908071614	0.1092831899010953	0.3414952550427645	0.7327307763502682	0.8805338207261253
GSE245386	singlet	Endothelial_activation	Icam1	True	6422.400816162645	0.5722924142719921	0.1440079097466313	3.9740345879534527	7.066529441031845e-05	0.0006775474193557
GSE245386	singlet	Endothelial_activation	Vcam1	True	1868.5299341881475	0.3803521429995408	0.1204184436975791	3.158587101115204	0.0015853592700466	0.0104277041092707
GSE245386	singlet	Endothelial_activation	Sele	True	99.9473731068637	1.6612133123445996	0.8776101878687641	1.8928828941454967	0.0583734445631143	0.1916362508071119
GSE245386	singlet	Endothelial_activation	Selp	True	89.01855314533074	-1.4612274585683345	1.4586400796699432	-1.0017738295652596	0.316452839566303	0.5744967086222629
GSE245386	singlet	Endothelial_activation	Ccl2	True	232.8545980506616	1.3838081437810212	1.0791104463492096	1.282360066536886	0.1997163658469979	0.4395654216893321
GSE245386	singlet	Endothelial_activation	Cxcl10	True	942.405382320364	-0.3524086255652522	0.4594793229456227	-0.7669738505446483	0.4430970630682397	0.6914331089715092
GSE245386	singlet	Angiogenesis_associated	Apln	True	58.69131664874234	1.6221816525685548	0.4960758975521706	3.2700271482106333	0.0010753716321185	0.0074389471263272
GSE245386	singlet	Angiogenesis_associated	Esm1	True	158.18415651277525	-3.0532562099697897	0.3260784004428735	-9.363564731128818	7.709088716506008e-21	4.9139650479634e-19
GSE245386	singlet	Angiogenesis_associated	Dll4	True	1665.51312963142	-0.3028662879335608	0.1430530529123128	-2.1171606041795465	0.0342462196506208	0.1292566338630293
GSE245386	singlet	Angiogenesis_associated	Angpt2	True	667.1080307788359	2.722008073047573	0.2142363231534708	12.705632886994753	5.502247990628922e-37	8.980152434815465e-35
GSE245386	singlet	Angiogenesis_associated	Pgf	True	66.21780167135218	2.7670494347074106	0.4508507257466434	6.137395986498556	8.388510658958377e-10	1.8678584753650653e-08
GSE245386	singlet	Angiogenesis_associated	Flt1	True	95662.8872920162	-0.3629327930387577	0.1195893904119269	-3.0348243417633607	0.0024067581728387	0.01497493606326
GSE245386	reference_singlet	BBB_junction	Cldn5	True	72847.27254265088	-0.4242717451813227	0.1029716205397748	-4.120278412219796	3.784148525871946e-05	0.0003684037481429
GSE245386	reference_singlet	BBB_junction	Ocln	True	4505.707542485909	-0.0654748223440969	0.1129808516620833	-0.5795214089899662	0.5622374051625969	0.7726651885629631
GSE245386	reference_singlet	BBB_junction	Tjp1	True	20428.72326475242	0.2448333560002232	0.1081633527422357	2.263551838890257	0.023601692844354	0.0942435694043661
GSE245386	reference_singlet	BBB_junction	Tjp2	True	3606.03905625386	-0.1993183316572822	0.1273933135397049	-1.564590213717616	0.1176790249987724	0.3036494094388005
GSE245386	reference_singlet	BBB_transport	Mfsd2a	True	3254.427964332717	-0.2465627295645521	0.3521809512420217	-0.7001024010384711	0.4838633564841165	0.7140530815219568
GSE245386	reference_singlet	BBB_transport	Slc2a1	True	52014.9337142773	1.6647734878790994	0.1164500724771056	14.296027923953403	2.3165975035419182e-46	4.842654031362419e-44
GSE245386	reference_singlet	BBB_transport	Slco1c1	True	19742.530250429787	-0.7220306164181571	0.1358059678661276	-5.316633928266743	1.0570442723302414e-07	1.6351051739817536e-06
GSE245386	reference_singlet	BBB_transport	Abcb1a	True	18396.32899670714	0.0696510209108295	0.1018294476864555	0.6839968446582657	0.493977158272461	0.7224193483465872
GSE245386	reference_singlet	BBB_transport	Abcb1b	True	123.58932882776688	1.510656190951888	0.2774625327061145	5.444541200638283	5.1939081688309444e-08	8.423869811322686e-07
GSE245386	reference_singlet	BBB_transport	Abcg2	True	12728.642261851057	0.0230005243506749	0.1041645991185921	0.2208094164936852	0.8252408312452223	0.9240217044392084
GSE245386	reference_singlet	Endothelial_activation	Icam1	True	6255.850746181086	0.5534617682339052	0.144078918003431	3.841379265637777	0.0001223449093845	0.0010595012837438
GSE245386	reference_singlet	Endothelial_activation	Vcam1	True	1796.6697964205791	0.3432381148988801	0.1171858240697479	2.9290071356633383	0.0034004661586033	0.0194380615849369
GSE245386	reference_singlet	Endothelial_activation	Sele	True	94.92263456070212	1.5649447631186566	0.8806100135212033	1.777114431007973	0.0755494142890187	0.2223927702843772
GSE245386	reference_singlet	Endothelial_activation	Selp	True	84.36129719054323	-1.439499656311554	1.623165473943077	-0.8868471387668488	0.3751612047108572	0.6205753489094952
GSE245386	reference_singlet	Endothelial_activation	Ccl2	True	203.2750927872864	1.770225338610821	0.9807847760824266	1.8049070313689788	0.071089231322962	0.2134378656776183
GSE245386	reference_singlet	Endothelial_activation	Cxcl10	True	844.5796759148343	-0.1852372192576892	0.2044055794560129	-0.906223889536985	0.3648173608475611	0.6117956655283168
GSE245386	reference_singlet	Angiogenesis_associated	Apln	True	56.91419435537961	1.630881959629138	0.4879286430174726	3.3424599743588668	0.0008303933020071	0.0057331420130779
GSE245386	reference_singlet	Angiogenesis_associated	Esm1	True	127.72997779618456	-2.957265874293644	0.3556636151655473	-8.314783262035824	9.192010167160187e-17	4.045290790231813e-15
GSE245386	reference_singlet	Angiogenesis_associated	Dll4	True	1639.1271120514248	-0.3106144119723345	0.1393398221796532	-2.2291862233888464	0.0258015167934491	0.1006580169150343
GSE245386	reference_singlet	Angiogenesis_associated	Angpt2	True	650.6596059768901	2.718609079795928	0.2108758464465487	12.891988938548357	4.993903558668985e-38	7.748787882631638e-36
GSE245386	reference_singlet	Angiogenesis_associated	Pgf	True	61.79931395861668	3.051144150477465	0.4500280617937248	6.779897543091411	1.202611378858775e-11	3.147913715339725e-10
GSE245386	reference_singlet	Angiogenesis_associated	Flt1	True	94272.13027127068	-0.3765626514518271	0.1123110133162576	-3.3528559696230387	0.0007998231654947	0.0055500868897468
GSE245386	reference_only	BBB_junction	Cldn5	True	78701.31994871137	-0.3925536991877835	0.1140587340086248	-3.44168031146216	0.000578113034261	0.0044848879752569
GSE245386	reference_only	BBB_junction	Ocln	True	4866.024324618168	-0.0411248160995789	0.121093876768928	-0.3396110290370296	0.7341494713358965	0.8860979948979363
GSE245386	reference_only	BBB_junction	Tjp1	True	21900.07994370315	0.2698214625076798	0.1174196528782452	2.2979242051367934	0.0215661033806105	0.0929022926712625
GSE245386	reference_only	BBB_junction	Tjp2	True	3865.601370189905	-0.168273804883725	0.1347630078584825	-1.2486646562566557	0.2117877531537498	0.4628388528850815
GSE245386	reference_only	BBB_transport	Mfsd2a	True	3548.875358761693	-0.2015805286870003	0.3656872142733461	-0.5512375626464251	0.5814708335998818	0.797134646498356
GSE245386	reference_only	BBB_transport	Slc2a1	True	56716.80631179023	1.694511800876991	0.1247354740942414	13.5848427496795	4.925887628438547e-42	9.856253336539307e-40
GSE245386	reference_only	BBB_transport	Slco1c1	True	21317.91726468813	-0.6833563676595655	0.1448864460660326	-4.716496167958479	2.399408843531216e-06	3.251336152355799e-05
GSE245386	reference_only	BBB_transport	Abcb1a	True	19784.336074091458	0.0987393513799239	0.1105635538711987	0.8930551517451275	0.3718276384959832	0.6350191667262529
GSE245386	reference_only	BBB_transport	Abcb1b	True	140.18261877431968	1.3771909852919757	0.2781838806969605	4.950649842980004	7.396608148967718e-07	1.091566491869211e-05
GSE245386	reference_only	BBB_transport	Abcg2	True	13725.776654468738	0.0511797244265768	0.1118205950413171	0.4576949747733521	0.6471715988374103	0.8371266379229247
GSE245386	reference_only	Endothelial_activation	Icam1	True	6648.917943919997	0.5869991964103856	0.1412872012948031	4.1546523041785	3.2578255673063625e-05	0.0003522338141437
GSE245386	reference_only	Endothelial_activation	Vcam1	True	1955.04430999768	0.3776218458576963	0.1175819011127335	3.21156438434896	0.0013201438520115	0.0091619172648387
GSE245386	reference_only	Endothelial_activation	Sele	True	101.36125703926108	1.6620430901031842	0.927135293671698	1.792665106643777	0.073026489107057	0.2283619915114622
