dataset	sample	cell_type	selection	n_cells	gene	fraction_detected	mean_logcp10k
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	C1qa	0.5174050632911392	0.925415806903246
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Rgs5	0.0981012658227848	0.1618299072564335
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Pdgfrb	0.0015822784810126582	0.0028526577824973696
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Acta2	0.19936708860759494	0.3244348177522377
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Plp1	0.33306962025316456	0.5523556174675642
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Mbp	0.10443037974683544	0.16152972694471998
GSE174574	GSM5319988	Endothelial	original_reference_supported	1264	Snap25	0.0	0.0
GSE174574	GSM5319988	Endothelial	reference_added	2847	Aldh1l1	0.012996136283807516	0.020594420462627702
GSE174574	GSM5319988	Endothelial	reference_added	2847	Slc1a3	0.06287319985950122	0.1087602405911351
GSE174574	GSM5319988	Endothelial	reference_added	2847	Slc1a2	0.07411310151036178	0.1251377789507552
GSE174574	GSM5319988	Endothelial	reference_added	2847	Gja1	0.1239901650860555	0.21693521486281778
GSE174574	GSM5319988	Endothelial	reference_added	2847	Glul	0.8507200561995083	2.329514044005138
GSE174574	GSM5319988	Endothelial	reference_added	2847	Sox9	0.047067088162978575	0.07906438220684185
GSE174574	GSM5319988	Endothelial	reference_added	2847	Aldoc	0.10291534949069196	0.1740416500070855
GSE174574	GSM5319988	Endothelial	reference_added	2847	Pecam1	0.54337899543379	1.0614352717671514
GSE174574	GSM5319988	Endothelial	reference_added	2847	Cdh5	0.36951176677204073	0.672730012390689
GSE174574	GSM5319988	Endothelial	reference_added	2847	Esam	0.8893572181243414	2.165821465586783
GSE174574	GSM5319988	Endothelial	reference_added	2847	Tek	0.256059009483667	0.45255374548520105
GSE174574	GSM5319988	Endothelial	reference_added	2847	Erg	0.13487881981032665	0.22703708193720595
GSE174574	GSM5319988	Endothelial	reference_added	2847	Vwf	0.1970495258166491	0.36226383242571775
GSE174574	GSM5319988	Endothelial	reference_added	2847	Kdr	0.3217421847558834	0.5978909194361255
GSE174574	GSM5319988	Endothelial	reference_added	2847	Ptprc	0.01685985247629083	0.028703271450299956
