source	target	ligand	receptor
Fibroblast	Endothelial	Hspg2	Dag1
Fibroblast	Endothelial	Igf2	Igf1r
Fibroblast	Endothelial	Lamb1	Dag1
Fibroblast	Endothelial	Lamb1	Itga6_Itgb1
Fibroblast	Endothelial	Lamb2	Dag1
Fibroblast	Endothelial	Lamb2	Itga6_Itgb1
Fibroblast	Endothelial	Lamc1	Dag1
Fibroblast	Endothelial	Lamc1	Itga6_Itgb1
Fibroblast	Endothelial	Mdk	Itga6_Itgb1
Fibroblast	Endothelial	Mdk	Ncl
Fibroblast	Endothelial	Ptn	Ncl
Fibroblast	Endothelial	Ptn	Sdc3
Fibroblast	Endothelial	Thbs1	Cd47
Fibroblast	Endothelial	Thbs2	Cd47
Fibroblast	Endothelial	Tnfsf12	Tnfrsf12a
Fibroblast	Endothelial	Wnt5a	Fzd4
Fibroblast	Endothelial	Wnt5a	Fzd6
Fibroblast	Ependymal	Hspg2	Dag1
Fibroblast	Ependymal	Igf2	Igf1r
Fibroblast	Ependymal	Lamb1	Dag1
Fibroblast	Ependymal	Lamb2	Dag1
Fibroblast	Ependymal	Lamc1	Dag1
Fibroblast	Ependymal	Mdk	Lrp1
Fibroblast	Ependymal	Mdk	Ncl
Fibroblast	Ependymal	Mdk	Ptprz1
Fibroblast	Ependymal	Mdk	Sdc2
Fibroblast	Ependymal	Mdk	Sdc4
Fibroblast	Ependymal	Psap	Gpr37l1
Fibroblast	Ependymal	Ptn	Ncl
Fibroblast	Ependymal	Ptn	Ptprz1
Fibroblast	Ependymal	Ptn	Sdc2
Fibroblast	Ependymal	Ptn	Sdc4
Fibroblast	Ependymal	Thbs1	Cd47
Fibroblast	Ependymal	Thbs1	Sdc4
Fibroblast	Ependymal	Thbs2	Cd47
Fibroblast	Fibroblast	App	Cd74
Fibroblast	Fibroblast	Bmp4	Bmpr1a_Bmpr2
Fibroblast	Fibroblast	Bmp7	Bmpr1a_Bmpr2
Fibroblast	Fibroblast	Fn1	Itgav_Itgb1
Fibroblast	Fibroblast	Gas6	Axl
Fibroblast	Fibroblast	Hspg2	Dag1
Fibroblast	Fibroblast	Igf2	Igf1r
Fibroblast	Fibroblast	Lamb1	Dag1
Fibroblast	Fibroblast	Lamb2	Dag1
Fibroblast	Fibroblast	Lamc1	Dag1
Fibroblast	Fibroblast	Mdk	Lrp1
Fibroblast	Fibroblast	Mdk	Ncl
Fibroblast	Fibroblast	Mdk	Sdc2
Fibroblast	Fibroblast	Mdk	Sdc4
Fibroblast	Fibroblast	Pros1	Axl
Fibroblast	Fibroblast	Ptn	Ncl
Fibroblast	Fibroblast	Ptn	Sdc2
Fibroblast	Fibroblast	Ptn	Sdc4
Fibroblast	Fibroblast	Spp1	Itgav_Itgb1
Fibroblast	Fibroblast	Spp1	Itgav_Itgb5
Fibroblast	Fibroblast	Thbs1	Cd47
Fibroblast	Fibroblast	Thbs1	Sdc4
Fibroblast	Fibroblast	Thbs2	Cd47
Fibroblast	Fibroblast	Vtn	Itgav_Itgb1
Fibroblast	Fibroblast	Vtn	Itgav_Itgb5
Fibroblast	Fibroblast	Wnt5a	Fzd2
Fibroblast	Microglia	App	Cd74
Fibroblast	Microglia	App	Tnfrsf21
Fibroblast	Microglia	Fn1	Itgav_Itgb1
Fibroblast	Microglia	Gas6	Mertk
Fibroblast	Microglia	Icam1	Itgam_Itgb2
Fibroblast	Microglia	Igf2	Igf1r
Fibroblast	Microglia	Jam3	Itgam_Itgb2
Fibroblast	Microglia	Lamb1	Itga6_Itgb1
Fibroblast	Microglia	Lamb2	Itga6_Itgb1
Fibroblast	Microglia	Lamc1	Itga6_Itgb1
Fibroblast	Microglia	Mdk	Itga6_Itgb1
Fibroblast	Microglia	Mdk	Lrp1
Fibroblast	Microglia	Mdk	Ncl
Fibroblast	Microglia	Pros1	Mertk
Fibroblast	Microglia	Ptn	Ncl
Fibroblast	Microglia	Rarres2	Cmklr1
Fibroblast	Microglia	Spp1	Itgav_Itgb1
Fibroblast	Microglia	Spp1	Itgav_Itgb5
